# source, target, weight
0,1,1
0,2,1
0,3,1
1,4,1
1,5,1
2,10,1
2,11,1
3,8,1
3,12,1
4,6,1
4,7,1
5,14,1
5,22,1
6,8,1
6,13,1
7,18,1
7,22,1
8,9,1
9,16,1
9,17,1
10,34,1
10,12,1
11,14,1
11,42,1
12,32,1
13,19,1
13,17,1
14,15,1
15,23,1
15,41,1
16,32,1
16,29,1
17,30,1
18,19,1
18,20,1
19,25,1
20,24,1
20,27,1
21,22,1
21,23,1
21,24,1
23,45,1
24,48,1
25,26,1
25,27,1
26,30,1
26,43,1
27,54,1
28,29,1
28,30,1
28,31,1
29,40,1
31,53,1
31,43,1
32,33,1
33,36,1
33,40,1
34,35,1
34,36,1
35,37,1
35,42,1
36,39,1
37,38,1
37,39,1
38,46,1
38,49,1
39,52,1
40,51,1
41,42,1
41,46,1
43,56,1
44,45,1
44,46,1
44,47,1
45,48,1
47,49,1
47,58,1
48,50,1
49,55,1
50,54,1
50,58,1
51,52,1
51,53,1
52,55,1
53,59,1
54,56,1
55,59,1
56,57,1
57,59,1
57,58,1
