# index, gene, tax_id, _pos
121,9606,9564,"array([3.11589227, 1.35003554])"
122,6239,177111,"array([3.1582895 , 1.32960907])"
123,9606,5058,"array([3.11358017, 1.34601844])"
124,6239,177362,"array([3.17727597, 1.33308343])"
125,9606,10367,"array([3.13614141, 1.34256911])"
126,9606,8370,"array([3.11421571, 1.33846381])"
127,6239,177345,"array([3.0864724 , 1.33414092])"
128,9606,29062,"array([3.12887792, 1.3454725 ])"
129,9606,124997,"array([3.12079346, 1.35607351])"
130,7227,31151,"array([3.08259839, 1.3097793 ])"
131,9606,607,"array([3.09602698, 1.32721757])"
132,9606,1387,"array([3.10932215, 1.33882069])"
133,7227,31248,"array([3.08541682, 1.38379438])"
134,9606,120892,"array([3.11462612, 1.34999287])"
135,7227,31251,"array([3.1180978 , 1.28594058])"
136,9606,8914,"array([3.11901843, 1.32947436])"
137,7227,31293,"array([3.17833608, 1.33036411])"
138,9606,285203,"array([3.13797099, 1.34391355])"
139,7227,31359,"array([3.06867286, 1.36356511])"
140,7227,31521,"array([3.09116759, 1.31702872])"
141,9606,473,"array([3.10102596, 1.33648647])"
142,9606,1822,"array([3.10766339, 1.34364356])"
143,7227,31598,"array([3.13359397, 1.30843354])"
144,9606,3018,"array([3.11513487, 1.338431  ])"
145,9606,8350,"array([3.11262468, 1.33764563])"
146,7227,31669,"array([3.07190598, 1.37572385])"
147,9606,30011,"array([3.11125953, 1.35528501])"
148,7227,31739,"array([3.05885265, 1.33844647])"
149,9606,23404,"array([3.10171571, 1.34019321])"
150,7227,31838,"array([3.15292652, 1.37571704])"
151,9606,2782,"array([3.12383037, 1.35515601])"
152,9606,5082,"array([3.12489715, 1.35549357])"
153,7227,31840,"array([3.08766655, 1.313816  ])"
154,7227,32045,"array([3.11735355, 1.39671794])"
155,7227,32100,"array([3.15559661, 1.31383498])"
156,9606,1025,"array([3.11744975, 1.3417238 ])"
157,7227,32225,"array([3.07489174, 1.31334715])"
158,9606,342371,"array([3.1089811 , 1.34234412])"
159,7227,32343,"array([3.06914053, 1.33046634])"
160,9606,5515,"array([3.11132059, 1.34524913])"
161,7227,32518,"array([3.13883059, 1.38629082])"
162,7227,32558,"array([3.0590416 , 1.32588574])"
163,7227,32597,"array([3.09402208, 1.39876154])"
164,9606,5921,"array([3.11067306, 1.35827992])"
165,7227,32665,"array([3.05891794, 1.34167219])"
166,7227,32762,"array([3.10736231, 1.29784633])"
