# index, label, _pos
0,0,"array([2.28265711, 1.12603566])"
1,60,"array([2.19198412, 1.11649743])"
2,120,"array([2.30083827, 1.0474618 ])"
3,238,"array([2.31373129, 1.22537248])"
4,1,"array([2.42790163, 1.17784341])"
5,61,"array([2.49762525, 1.21955585])"
6,121,"array([2.39381848, 1.26688406])"
7,236,"array([2.38472291, 1.08200749])"
8,2,"array([2.43122825, 1.06787159])"
9,62,"array([2.47750685, 1.15963446])"
10,122,"array([2.38499545, 0.99954447])"
11,233,"array([2.35497311, 1.04513963])"
12,3,"array([2.14051717, 0.83457244])"
13,63,"array([2.11076372, 0.77171021])"
14,123,"array([2.22605629, 0.89238748])"
15,230,"array([2.04387061, 0.83563255])"
16,4,"array([2.1670368 , 1.27770855])"
17,64,"array([2.14559551, 1.18372757])"
18,124,"array([2.25372616, 1.29914378])"
19,228,"array([2.0888786 , 1.33913848])"
20,5,"array([2.13865004, 0.96567734])"
21,65,"array([2.13195283, 1.04514289])"
22,125,"array([2.05281899, 0.91270208])"
23,239,"array([2.23385235, 0.96994917])"
24,6,"array([2.26556995, 0.87595668])"
25,66,"array([2.17997114, 0.81508731])"
26,126,"array([2.28585316, 0.96410689])"
27,237,"array([2.31531395, 0.91953603])"
28,7,"array([2.34919648, 1.54130562])"
29,67,"array([2.27124732, 1.58752582])"
30,127,"array([2.34957882, 1.4393063 ])"
31,229,"array([2.40526341, 1.5849883 ])"
32,8,"array([1.92047044, 0.74171731])"
33,68,"array([2.01710856, 0.74473537])"
34,128,"array([1.94797084, 0.7984733 ])"
35,206,"array([1.8170642 , 0.75192938])"
36,9,"array([2.24439728, 1.23704612])"
37,69,"array([2.16239494, 1.23544217])"
38,129,"array([2.28659961, 1.32748476])"
39,224,"array([2.25673051, 1.14856003])"
40,10,"array([2.34042189, 1.612881  ])"
41,70,"array([2.2750263 , 1.68804705])"
42,130,"array([2.40761419, 1.64044283])"
43,235,"array([2.33758286, 1.50979703])"
44,11,"array([1.95484555, 1.16652083])"
45,71,"array([2.03559982, 1.21070086])"
46,131,"array([1.94677474, 1.07765363])"
47,208,"array([1.88359058, 1.22680938])"
48,12,"array([1.55523193, 0.94875174])"
49,72,"array([1.59086051, 1.01830664])"
50,132,"array([1.62795243, 0.87498168])"
51,201,"array([1.475491  , 1.00479233])"
52,13,"array([2.39288627, 1.22955356])"
53,73,"array([2.46599614, 1.2508429 ])"
54,133,"array([2.34647358, 1.14105553])"
55,221,"array([2.36738564, 1.32780099])"
56,14,"array([1.78607643, 0.96425307])"
57,74,"array([1.69430214, 0.94522112])"
58,134,"array([1.86666693, 0.91010185])"
59,216,"array([1.79198893, 1.0519354 ])"
60,15,"array([1.83758249, 1.32706388])"
61,75,"array([1.77192202, 1.38921798])"
62,135,"array([1.81911859, 1.23728549])"
63,220,"array([1.9248136, 1.3645806])"
64,16,"array([2.46318868, 1.44653644])"
65,76,"array([2.4858261 , 1.34632357])"
66,136,"array([2.39316249, 1.42716676])"
67,217,"array([2.45604059, 1.54790769])"
68,17,"array([1.71025069, 1.59378268])"
69,77,"array([1.71885715, 1.50632985])"
70,137,"array([1.79309535, 1.65049788])"
71,210,"array([1.61807008, 1.61083116])"
72,18,"array([1.53603037, 0.8756437 ])"
73,78,"array([1.58657421, 0.90732172])"
74,138,"array([1.46015888, 0.95155551])"
75,209,"array([1.620496 , 0.8171371])"
76,19,"array([1.98034706, 1.21236538])"
77,79,"array([2.05618304, 1.1548181 ])"
78,139,"array([1.99724003, 1.30379215])"
79,227,"array([1.89207567, 1.17428378])"
80,20,"array([1.96263081, 1.02985209])"
81,80,"array([2.04873518, 1.07305556])"
82,140,"array([1.88229253, 1.08398578])"
83,234,"array([1.96019388, 0.94423684])"
84,21,"array([2.27616102, 1.73405448])"
85,81,"array([2.23607649, 1.66567202])"
86,141,"array([2.35771568, 1.67895369])"
87,192,"array([2.19981584, 1.80743391])"
88,22,"array([1.75410476, 0.82130324])"
89,82,"array([1.67454636, 0.87609971])"
90,142,"array([1.71761784, 0.77550622])"
91,214,"array([1.85494175, 0.83174822])"
92,23,"array([2.48086727, 1.40096833])"
93,83,"array([2.51212775, 1.31172158])"
94,143,"array([2.46186262, 1.50337394])"
95,231,"array([2.41214627, 1.365313  ])"
96,24,"array([2.19670181, 1.45776015])"
97,84,"array([2.20141862, 1.54489986])"
98,144,"array([2.10610754, 1.42895915])"
99,232,"array([2.27395413, 1.39649954])"
100,25,"array([1.78465802, 1.10201862])"
101,85,"array([1.69684998, 1.07704246])"
102,145,"array([1.79518507, 1.19162252])"
103,215,"array([1.85861491, 1.04058647])"
104,26,"array([1.90495508, 1.93986956])"
105,86,"array([1.80853811, 1.93680668])"
106,146,"array([2.00850707, 1.93000649])"
107,188,"array([1.87755503, 1.88417341])"
108,27,"array([2.11126857, 0.91362068])"
109,87,"array([2.09651525, 0.83057506])"
110,147,"array([2.02079205, 0.94391923])"
111,213,"array([2.19451913, 0.97325567])"
