# index, label, _pos
142,995,"array([17.14004538, 15.69177427])"
143,1045,"array([17.15639664, 15.85964413])"
144,36,"array([17.35184708, 15.32236226])"
145,936,"array([17.28239631, 15.36699096])"
146,996,"array([17.41244684, 15.37941859])"
147,1034,"array([17.36611371, 15.23428279])"
148,37,"array([19.86398015, 15.05790477])"
149,937,"array([19.83554601, 14.96912993])"
150,997,"array([19.93351569, 15.11940377])"
151,1036,"array([19.79757569, 15.10105849])"
152,38,"array([18.62666063, 15.70028927])"
153,938,"array([18.55914204, 15.65215477])"
154,998,"array([18.70919605, 15.66433116])"
155,1066,"array([18.60809183, 15.78573262])"
156,39,"array([17.0138457 , 15.66210171])"
157,939,"array([16.99341817, 15.75031181])"
158,999,"array([16.96207232, 15.60490448])"
159,1052,"array([17.09194485, 15.62143606])"
160,40,"array([18.40795535, 16.28464316])"
161,940,"array([18.38275578, 16.3652229 ])"
162,1000,"array([18.49535542, 16.27073156])"
163,1035,"array([18.34425736, 16.22454405])"
164,41,"array([19.70168653, 14.94417764])"
165,941,"array([19.76974168, 14.91522466])"
166,1001,"array([19.72264012, 15.03698254])"
167,1033,"array([19.62540269, 14.88368262])"
168,42,"array([19.57367322, 16.55712702])"
169,942,"array([19.62571205, 16.62140531])"
170,1002,"array([19.4936372 , 16.59053348])"
171,1051,"array([19.60077798, 16.46962456])"
172,43,"array([19.07324485, 17.63387355])"
173,943,"array([18.99787053, 17.68858864])"
174,1003,"array([19.16718579, 17.62651956])"
175,1065,"array([19.04883024, 17.55989758])"
176,44,"array([18.62866452, 15.53373391])"
177,944,"array([18.5597853 , 15.57627884])"
178,1004,"array([18.61129782, 15.44975004])"
179,1029,"array([18.70738685, 15.57503548])"
180,45,"array([17.78236275, 14.39628095])"
181,945,"array([17.86020037, 14.34483472])"
182,1005,"array([17.80162308, 14.46793205])"
183,1063,"array([17.68983136, 14.40431667])"
184,46,"array([18.23831651, 16.33344191])"
185,946,"array([18.30554883, 16.38325132])"
186,1006,"array([18.2560421 , 16.24855488])"
187,1058,"array([18.15719731, 16.36660597])"
188,47,"array([18.75658173, 15.0747262 ])"
189,947,"array([18.77764379, 14.99794602])"
190,1007,"array([18.67092275, 15.08492025])"
191,1039,"array([18.82355457, 15.13415007])"
192,48,"array([18.91567702, 15.03739029])"
193,948,"array([18.84937568, 14.99224794])"
194,1008,"array([18.90560203, 15.11555887])"
195,1024,"array([18.99182274, 15.00786486])"
196,49,"array([19.92073999, 16.06270616])"
197,949,"array([19.88329147, 16.13946403])"
198,1009,"array([19.98948811, 16.09394506])"
199,1027,"array([19.89362415, 15.97585556])"
200,50,"array([17.99998536, 14.20447571])"
201,950,"array([17.9467925 , 14.25565532])"
202,1010,"array([17.9178347 , 14.19299087])"
203,1023,"array([18.09982616, 14.19085237])"
204,51,"array([19.93907181, 14.96379942])"
205,951,"array([19.87237389, 14.91538024])"
206,1011,"array([19.94187679, 14.89072404])"
207,1043,"array([19.97703116, 15.06032551])"
208,52,"array([19.78062116, 16.06201488])"
209,952,"array([19.81718202, 16.13516612])"
210,1012,"array([19.81410344, 15.97510105])"
211,1044,"array([19.70366524, 16.06640654])"
212,53,"array([19.67957243, 14.77509836])"
213,953,"array([19.75123133, 14.83671185])"
214,1013,"array([19.60376988, 14.79582945])"
215,1022,"array([19.65641519, 14.69591456])"
216,54,"array([18.63904835, 14.94631787])"
217,954,"array([18.72293263, 14.94380814])"
218,1014,"array([18.58508322, 14.88077907])"
219,1040,"array([18.60955069, 15.02101508])"
220,55,"array([19.72722519, 16.51884846])"
221,955,"array([19.69518697, 16.60097087])"
222,1015,"array([19.68219356, 16.44262033])"
223,1030,"array([19.8058348 , 16.50212667])"
224,56,"array([19.80705134, 14.76830762])"
225,956,"array([19.82095743, 14.84235231])"
226,1016,"array([19.73319705, 14.69915905])"
227,1021,"array([19.88026055, 14.80471978])"
228,57,"array([18.10126807, 14.28282027])"
229,957,"array([18.00721498, 14.29186542])"
230,1017,"array([18.16539438, 14.23063557])"
231,1026,"array([18.15239113, 14.34062903])"
232,58,"array([18.90412795, 14.8773498 ])"
233,958,"array([18.83979062, 14.91609158])"
234,1018,"array([18.98191874, 14.92266929])"
235,1020,"array([18.87359868, 14.7966052 ])"
236,59,"array([18.72654851, 14.81715303])"
237,959,"array([18.76443593, 14.88817444])"
238,1019,"array([18.78561064, 14.76638895])"
239,1025,"array([18.63609501, 14.81480773])"
240,60,"array([17.90478007, 17.28417319])"
241,1080,"array([17.94310547, 17.3651731 ])"
242,1560,"array([17.81631949, 17.23898223])"
243,61,"array([17.02464614, 17.27887602])"
244,1081,"array([16.96724771, 17.20545348])"
245,1561,"array([17.10408595, 17.35414989])"
246,62,"array([17.32694875, 17.39656852])"
247,1082,"array([17.36117955, 17.46974716])"
248,1562,"array([17.41226071, 17.38521563])"
249,63,"array([18.69006533, 17.88506989])"
250,1083,"array([18.58390654, 17.88790825])"
251,1563,"array([18.76729089, 17.8773156 ])"
252,64,"array([17.78088547, 16.97420691])"
253,1084,"array([17.69810011, 17.00306581])"
