# source, target, weight
0,1,1
0,2,1
0,3,1
1,17,1
1,21,1
2,7,1
2,23,1
3,6,1
3,18,1
4,5,1
4,6,1
4,7,1
5,9,1
5,93,1
6,95,1
7,10,1
8,9,1
8,10,1
8,11,1
9,53,1
10,27,1
11,26,1
11,54,1
12,13,1
12,14,1
12,15,1
13,25,1
13,33,1
14,27,1
14,23,1
15,22,1
15,34,1
16,17,1
16,18,1
16,19,1
17,77,1
18,99,1
19,78,1
19,98,1
20,21,1
20,22,1
20,23,1
21,81,1
22,83,1
24,25,1
24,26,1
24,27,1
25,109,1
26,111,1
28,29,1
28,30,1
28,31,1
29,85,1
29,97,1
30,95,1
30,99,1
31,86,1
31,94,1
32,33,1
32,34,1
32,35,1
33,173,1
34,91,1
35,90,1
35,174,1
36,37,1
36,38,1
36,39,1
37,121,1
37,185,1
38,187,1
38,55,1
39,54,1
39,122,1
40,41,1
40,42,1
40,43,1
41,117,1
41,125,1
42,119,1
42,67,1
43,66,1
43,126,1
44,45,1
44,46,1
44,47,1
45,121,1
45,161,1
46,123,1
46,103,1
47,102,1
47,162,1
48,49,1
48,50,1
48,51,1
49,129,1
49,197,1
50,75,1
50,131,1
51,74,1
51,198,1
52,53,1
52,54,1
52,55,1
53,65,1
55,66,1
56,57,1
56,58,1
56,59,1
57,89,1
57,169,1
58,91,1
58,83,1
59,82,1
59,170,1
60,61,1
60,62,1
60,63,1
61,113,1
61,153,1
62,155,1
62,79,1
63,78,1
63,114,1
64,65,1
64,66,1
64,67,1
65,93,1
67,94,1
68,69,1
68,70,1
68,71,1
69,113,1
69,177,1
70,115,1
70,135,1
71,134,1
71,178,1
72,73,1
72,74,1
72,75,1
73,89,1
73,221,1
74,223,1
75,90,1
76,77,1
76,78,1
76,79,1
77,81,1
79,82,1
80,81,1
80,82,1
80,83,1
84,85,1
84,86,1
84,87,1
85,157,1
86,119,1
87,118,1
87,158,1
88,89,1
88,90,1
88,91,1
92,93,1
92,94,1
92,95,1
96,97,1
96,98,1
96,99,1
97,141,1
98,143,1
100,101,1
100,102,1
100,103,1
101,129,1
101,209,1
102,211,1
103,130,1
104,105,1
104,106,1
104,107,1
105,181,1
105,201,1
106,139,1
106,183,1
107,138,1
107,202,1
108,109,1
108,110,1
108,111,1
109,173,1
110,123,1
110,175,1
111,122,1
112,113,1
112,114,1
112,115,1
114,143,1
115,142,1
116,117,1
116,118,1
116,119,1
117,137,1
118,139,1
120,121,1
120,122,1
120,123,1
124,125,1
124,126,1
124,127,1
125,145,1
126,187,1
127,146,1
127,186,1
128,129,1
128,130,1
128,131,1
130,175,1
131,174,1
132,133,1
132,134,1
132,135,1
133,181,1
133,229,1
134,231,1
135,182,1
136,137,1
136,138,1
136,139,1
137,145,1
138,147,1
140,141,1
140,142,1
140,143,1
141,157,1
142,159,1
144,145,1
144,146,1
144,147,1
146,219,1
147,218,1
148,149,1
148,150,1
148,151,1
149,165,1
149,205,1
150,223,1
150,207,1
151,166,1
151,222,1
152,153,1
152,154,1
152,155,1
153,177,1
154,179,1
154,171,1
155,170,1
156,157,1
156,158,1
156,159,1
158,183,1
159,182,1
160,161,1
160,162,1
160,163,1
161,185,1
162,191,1
163,186,1
163,190,1
164,165,1
164,166,1
164,167,1
165,213,1
166,179,1
167,178,1
167,214,1
168,169,1
168,170,1
168,171,1
169,221,1
171,222,1
172,173,1
172,174,1
172,175,1
176,177,1
176,178,1
176,179,1
180,181,1
180,182,1
180,183,1
184,185,1
184,186,1
184,187,1
188,189,1
188,190,1
188,191,1
189,193,1
189,217,1
190,219,1
191,194,1
192,193,1
192,194,1
192,195,1
193,233,1
194,211,1
195,210,1
195,234,1
196,197,1
196,198,1
196,199,1
197,209,1
198,207,1
199,206,1
199,210,1
200,201,1
200,202,1
200,203,1
201,229,1
202,239,1
203,230,1
203,238,1
204,205,1
204,206,1
204,207,1
205,225,1
206,227,1
208,209,1
208,210,1
208,211,1
212,213,1
212,214,1
212,215,1
213,225,1
214,231,1
215,226,1
215,230,1
216,217,1
216,218,1
216,219,1
217,237,1
218,239,1
220,221,1
220,222,1
220,223,1
224,225,1
224,226,1
224,227,1
226,235,1
227,234,1
228,229,1
228,230,1
228,231,1
232,233,1
232,234,1
232,235,1
233,237,1
235,238,1
236,237,1
236,238,1
236,239,1
