# index, gene, tax_id, _pos
121,7227,35744,"array([3.1499379, 3.0213708])"
122,9606,126961,"array([3.20034942, 2.97857425])"
123,9606,653604,"array([3.20285099, 2.98057833])"
124,7227,35801,"array([3.14471364, 3.00694012])"
125,7227,35882,"array([3.14110561, 3.03825639])"
126,7227,35924,"array([3.11863733, 3.03394298])"
127,9606,4116,"array([3.07685801, 3.03344043])"
128,7227,36040,"array([3.13958061, 3.04149221])"
129,9606,9927,"array([3.09198703, 3.08388571])"
130,9606,55669,"array([3.09514784, 3.08754356])"
131,7227,36308,"array([3.14149323, 3.03892587])"
132,7227,36329,"array([3.16755523, 3.04005405])"
133,9606,3783,"array([3.23028269, 3.03641274])"
134,7227,36383,"array([3.17423093, 3.02915509])"
135,9606,4137,"array([3.23703304, 3.02537269])"
136,7227,36390,"array([3.15470934, 3.03246599])"
137,9606,142,"array([3.09124974, 3.05019648])"
138,7227,36421,"array([3.16206228, 2.99017661])"
139,9606,7003,"array([3.16800842, 2.93214276])"
140,7227,36497,"array([3.15111067, 3.04375744])"
141,9606,867,"array([3.15609778, 3.10822857])"
142,7227,36544,"array([3.18590448, 3.02970231])"
143,9606,23112,"array([3.22317713, 3.03587674])"
144,7227,36766,"array([3.12659222, 3.01990248])"
145,7227,36809,"array([3.14741321, 2.94014079])"
146,9606,8932,"array([3.14559715, 2.90026501])"
147,7227,36810,"array([3.14942389, 3.03789202])"
148,9606,9638,"array([3.11552764, 3.09464411])"
149,7227,36816,"array([3.19925377, 2.98249444])"
150,7227,36897,"array([3.14635619, 3.0432289 ])"
151,9606,56288,"array([3.11478705, 3.09889349])"
152,7227,36984,"array([3.13858274, 3.09277306])"
153,9606,4297,"array([3.12619835, 3.13795277])"
154,7227,37070,"array([3.16967493, 3.02816583])"
155,9606,27327,"array([3.220191  , 2.98894854])"
156,9606,57690,"array([3.23214452, 3.04453821])"
157,7227,37238,"array([3.15603654, 3.02730201])"
158,7227,37402,"array([3.11963953, 3.02099048])"
159,9606,9775,"array([3.06048661, 3.01546466])"
160,7227,37629,"array([3.19473233, 3.03739424])"
161,7227,37755,"array([3.13592477, 3.01682024])"
162,9606,84219,"array([3.10431657, 2.96235308])"
163,7227,37780,"array([3.10223697, 3.04058496])"
164,7227,37916,"array([3.1590419 , 3.06549019])"
165,9606,2177,"array([3.16968857, 3.12347295])"
166,9606,5888,"array([3.16601404, 3.12514016])"
167,9606,23047,"array([3.16247838, 3.1248328 ])"
168,9606,23244,"array([3.08853424, 3.03579936])"
169,7227,38006,"array([3.18959198, 3.09359893])"
170,9606,8411,"array([3.19704088, 3.12276622])"
171,7227,38389,"array([3.15471166, 3.03145281])"
172,9606,2064,"array([3.22262296, 3.03152357])"
173,7227,38779,"array([3.15923147, 3.02665047])"
174,9606,8290,"array([3.20557491, 2.97621393])"
