# index, gene, tax_id, _pos
118,6239,191743,"array([ 6.80364618, 10.13355164])"
119,9606,1386,"array([ 6.12155253, 10.57539398])"
120,6239,3565776,"array([7.36281035, 9.27625283])"
121,6239,3565820,"array([ 6.54361479, 10.4986261 ])"
122,9606,7334,"array([ 6.09561393, 11.1356136 ])"
123,6239,176968,"array([6.26588859, 9.62096567])"
124,9606,25,"array([5.58146486, 9.14501993])"
125,9606,9564,"array([5.62931788, 9.13551018])"
126,6239,177111,"array([6.79639127, 9.46765843])"
127,9606,5058,"array([6.67325761, 8.70421736])"
128,6239,177362,"array([7.62678172, 9.26414862])"
129,9606,10367,"array([8.10144844, 8.71036236])"
130,9606,8370,"array([7.79849168, 9.20591605])"
131,6239,177345,"array([7.15206381, 8.49778136])"
132,9606,29062,"array([7.25802811, 7.88791763])"
133,9606,124997,"array([7.32488957, 7.88509748])"
134,6239,172122,"array([7.44404121, 8.09406508])"
135,10090,21821,"array([7.49934583, 7.70543543])"
136,10090,12361,"array([ 5.97169709, 10.9640005 ])"
137,6239,172981,"array([6.92468074, 9.97685847])"
138,10090,22631,"array([6.80610068, 9.09813339])"
139,10090,70799,"array([6.08122575, 9.00780217])"
140,6239,174535,"array([6.83471617, 9.79187226])"
141,10090,26413,"array([6.78194968, 8.9195035 ])"
142,6239,175223,"array([8.16155821, 8.86198587])"
143,10090,212541,"array([8.58456604, 8.46296053])"
144,6239,179878,"array([6.45477764, 9.97160684])"
145,10090,18132,"array([5.61351691, 9.91317087])"
146,6239,180942,"array([5.39495637, 9.23724391])"
147,10090,17187,"array([4.8393152 , 9.03948908])"
148,6239,181055,"array([6.68452816, 9.76472968])"
149,10090,20662,"array([6.36128932, 9.00338537])"
150,10090,54601,"array([4.97875087, 9.98899163])"
151,10090,56458,"array([4.99983338, 9.89253104])"
152,10090,56484,"array([ 4.9704083, 10.0540691])"
153,6239,182970,"array([7.37015309, 8.04738588])"
154,6239,175962,"array([6.50463885, 9.46170689])"
155,10090,19361,"array([6.13478594, 8.76112067])"
156,6239,171594,"array([6.3362771 , 8.50522069])"
157,6239,172703,"array([6.47543207, 9.09422814])"
158,6239,171599,"array([ 6.24738539, 10.30645047])"
159,6239,175441,"array([7.04657867, 9.93677994])"
160,6239,176016,"array([ 6.77519954, 10.35930185])"
161,6239,177138,"array([ 6.47325549, 10.09451516])"
162,6239,179718,"array([ 5.69379843, 10.42381242])"
163,6239,171601,"array([ 7.11747805, 10.28033921])"
164,6239,174233,"array([ 7.30261626, 10.19357023])"
165,6239,180969,"array([ 7.19885782, 10.95508859])"
