# index, label, _pos
0,0,"array([5.36085462, 7.19186685])"
1,1,"array([5.34910725, 7.06243187])"
2,2,"array([5.34758375, 7.31225033])"
3,3,"array([5.30874837, 7.23785795])"
4,4,"array([5.26164631, 7.13106944])"
5,5,"array([5.289414  , 7.36128153])"
6,6,"array([5.32478323, 7.42744998])"
7,7,"array([5.20093054, 7.42833979])"
8,8,"array([5.2790536, 7.5507184])"
9,9,"array([5.26901962, 7.31464981])"
10,10,"array([4.54512717, 6.51964353])"
11,11,"array([4.63285536, 6.58637678])"
12,12,"array([4.46908726, 6.58584813])"
13,13,"array([4.51424848, 6.40335275])"
14,14,"array([4.61976718, 6.69061435])"
15,15,"array([4.73328043, 6.55796223])"
16,16,"array([4.67714995, 6.79766301])"
17,17,"array([4.51344498, 6.68977233])"
18,18,"array([4.445554 , 6.7850537])"
19,19,"array([4.35391784, 6.55214079])"
20,20,"array([4.60053504, 6.10599964])"
21,21,"array([4.71843105, 6.14127457])"
22,22,"array([4.56258242, 6.00441299])"
23,23,"array([4.51369487, 6.16354349])"
24,24,"array([4.77076605, 6.06690152])"
25,25,"array([4.77946828, 6.24759844])"
26,26,"array([4.87997369, 6.11569439])"
27,27,"array([4.66886364, 5.99066943])"
28,28,"array([4.62786975, 5.89811157])"
29,29,"array([4.43437658, 5.95675289])"
30,30,"array([4.33094662, 7.20110471])"
31,31,"array([4.43430443, 7.18781809])"
32,32,"array([4.28382574, 7.10781334])"
33,33,"array([4.2740237 , 7.30195201])"
34,34,"array([4.50757543, 7.27459638])"
35,35,"array([4.44694352, 7.08252822])"
36,36,"array([4.54347606, 7.02924748])"
37,37,"array([4.35263255, 7.03498479])"
38,38,"array([4.32234889, 6.92412331])"
39,39,"array([4.16654353, 7.08652487])"
40,40,"array([4.30029449, 8.32703978])"
41,41,"array([4.4049959 , 8.26751152])"
42,42,"array([4.25275234, 8.41555743])"
43,43,"array([4.21444869, 8.28337094])"
44,44,"array([4.52240228, 8.27179361])"
45,45,"array([4.39121237, 8.1856585 ])"
46,46,"array([4.47791435, 8.09748962])"
47,47,"array([4.27577932, 8.19561746])"
48,48,"array([4.21709073, 8.1090249 ])"
49,49,"array([4.0827473 , 8.29006473])"
50,50,"array([4.37235007, 7.79816755])"
51,51,"array([4.33148908, 7.68921328])"
52,52,"array([4.48082635, 7.81959771])"
53,53,"array([4.29881852, 7.88487694])"
54,54,"array([4.56400207, 7.7315932 ])"
55,55,"array([4.46600592, 7.92508143])"
56,56,"array([4.56583822, 7.96563868])"
57,57,"array([4.35948897, 7.96570789])"
58,58,"array([4.30019819, 8.06717552])"
59,59,"array([4.17462092, 7.88581599])"
60,60,"array([2.46444913, 7.04029226])"
61,61,"array([2.51261527, 6.99547914])"
62,62,"array([2.47948778, 6.91888491])"
63,63,"array([2.47706248, 7.17010861])"
64,64,"array([2.50099381, 6.80334314])"
65,65,"array([2.56179835, 6.91012644])"
66,66,"array([2.53058188, 6.87250789])"
67,67,"array([2.5485933 , 6.67910599])"
68,68,"array([2.61928714, 6.80730203])"
69,69,"array([2.55755065, 7.10430975])"
70,70,"array([3.36278527, 7.58357298])"
71,71,"array([3.47669431, 7.62161889])"
72,72,"array([3.28284754, 7.65516506])"
73,73,"array([3.31569785, 7.49027936])"
74,74,"array([3.37551934, 7.39808158])"
75,75,"array([3.2103618 , 7.49074895])"
76,76,"array([3.14955433, 7.39220685])"
77,77,"array([3.18991189, 7.59327199])"
78,78,"array([3.08848929, 7.61807714])"
79,79,"array([3.31345645, 7.7647928 ])"
80,80,"array([3.5046845 , 6.40254935])"
81,81,"array([3.62784378, 6.39617003])"
82,82,"array([3.44995117, 6.31557271])"
83,83,"array([3.43428536, 6.47646022])"
84,84,"array([3.51208869, 6.22030442])"
85,85,"array([3.34479154, 6.35186696])"
86,86,"array([3.25448319, 6.30197181])"
87,87,"array([3.33344488, 6.45226055])"
88,88,"array([3.24852066, 6.52877797])"
89,89,"array([3.47015387, 6.57512248])"
90,90,"array([3.62146547, 5.90300596])"
91,91,"array([3.75158817, 5.88325483])"
92,92,"array([3.55726418, 5.98547348])"
93,93,"array([3.53198165, 5.85454797])"
94,94,"array([3.6180557, 6.0738251])"
95,95,"array([3.44430654, 6.00173533])"
96,96,"array([3.42144272, 5.91180317])"
97,97,"array([3.35418587, 6.09074593])"
98,98,"array([3.30483628, 5.93055346])"
99,99,"array([3.5725703, 5.7739983])"
100,100,"array([3.54062914, 7.13512101])"
101,101,"array([3.65693429, 7.15477435])"
102,102,"array([3.49759957, 7.03430509])"
103,103,"array([3.46956897, 7.2157012 ])"
104,104,"array([3.50017359, 7.33323162])"
105,105,"array([3.37743803, 7.15627339])"
106,106,"array([3.39611473, 7.04928071])"
107,107,"array([3.28603952, 7.22155802])"
108,108,"array([3.3271488 , 6.95739029])"
109,109,"array([3.55619555, 6.9269652 ])"
110,110,"array([3.25207815, 8.27476989])"
111,111,"array([3.38006966, 8.32557995])"
112,112,"array([3.20108783, 8.17694603])"
113,113,"array([3.1425562 , 8.27844453])"
114,114,"array([3.04461307, 8.19589295])"
115,115,"array([3.18901779, 8.3456259 ])"
116,116,"array([3.08526413, 8.11851125])"
117,117,"array([2.93904242, 8.13078167])"
118,118,"array([3.02603667, 8.00672644])"
119,119,"array([3.29684307, 8.12505689])"
120,120,"array([5.32448236, 6.93991623])"
121,121,"array([5.2945044 , 6.80662444])"
122,122,"array([5.26022396, 6.99456472])"
123,123,"array([5.2382086 , 6.68969534])"
124,124,"array([5.19110884, 6.55556077])"
125,125,"array([5.17223226, 6.75655324])"
126,126,"array([5.1103997 , 6.44991366])"
127,127,"array([5.04872701, 6.32031744])"
128,128,"array([5.05153668, 6.52941489])"
129,129,"array([4.95358381, 6.23320153])"
130,130,"array([4.89464278, 6.3175628 ])"
131,131,"array([4.71113148, 6.43224789])"
132,132,"array([4.60915527, 6.35184201])"
133,133,"array([4.82289467, 6.4135199 ])"
134,134,"array([4.79111645, 6.29171975])"
135,135,"array([4.67748455, 6.19673943])"
136,136,"array([4.8885891, 6.2608753])"
137,137,"array([4.83646945, 6.14263734])"
138,138,"array([4.72439412, 6.04611421])"
139,139,"array([4.93397588, 6.14333235])"
140,140,"array([4.85401757, 6.04286407])"
141,141,"array([4.74047041, 5.95247996])"
142,142,"array([4.81450829, 6.66197131])"
143,143,"array([4.78808547, 6.79096336])"
144,144,"array([4.92861663, 6.6515202 ])"
145,145,"array([4.98740118, 6.77577426])"
146,146,"array([4.96040231, 6.90500667])"
147,147,"array([5.08970555, 6.7603413 ])"
148,148,"array([5.14130296, 6.89301096])"
149,149,"array([5.1152457, 7.0293236])"
150,150,"array([5.2449832 , 6.90394678])"
151,151,"array([5.27887033, 7.04536115])"
152,152,"array([5.24987463, 7.18029922])"
153,153,"array([5.24289229, 6.76606128])"
154,154,"array([5.1874655 , 6.62929028])"
155,155,"array([5.09399118, 6.61856128])"
156,156,"array([5.01387909, 6.4974535 ])"
157,157,"array([4.9189741, 6.5193146])"
158,158,"array([5.15901321, 6.49845333])"
159,159,"array([5.0839857 , 6.37286958])"
160,160,"array([4.98939448, 6.36845454])"
161,161,"array([5.02828546, 6.25423765])"
162,162,"array([5.19097749, 6.89309588])"
163,163,"array([5.08227859, 6.66583121])"
164,164,"array([4.94491313, 6.4449123 ])"
165,165,"array([4.53063552, 6.91140945])"
166,166,"array([4.61945697, 6.84358397])"
167,167,"array([4.41278693, 6.8549763 ])"
168,168,"array([4.58433241, 6.72128167])"
169,169,"array([4.68608883, 6.64949009])"
170,170,"array([4.46367004, 6.65938409])"
171,171,"array([4.65077565, 6.51788978])"
172,172,"array([4.74963564, 6.45080835])"
173,173,"array([4.52322151, 6.46177649])"
174,174,"array([4.69850815, 6.32573648])"
175,175,"array([4.57033441, 6.27842751])"
176,176,"array([4.63510016, 7.10209338])"
177,177,"array([4.73384786, 7.04503878])"
178,178,"array([4.61546707, 7.22790851])"
179,179,"array([4.82057823, 7.12752619])"
180,180,"array([4.92351199, 7.0750016 ])"
181,181,"array([4.80814501, 7.26115163])"
182,182,"array([5.00713513, 7.17338401])"
183,183,"array([5.10239515, 7.10497897])"
184,184,"array([4.97436593, 7.31337607])"
185,185,"array([5.17707814, 7.20560622])"
186,186,"array([5.15059316, 7.33900903])"
187,187,"array([5.1044346 , 6.96233467])"
188,188,"array([5.01736808, 6.867024  ])"
189,189,"array([4.92136151, 6.93936244])"
190,190,"array([4.82307338, 6.85206876])"
191,191,"array([4.72617605, 6.91581684])"
192,192,"array([4.99514945, 6.72658654])"
193,193,"array([4.88669337, 6.6480951 ])"
194,194,"array([4.79838525, 6.72036017])"
195,195,"array([4.85757732, 6.51732256])"
196,196,"array([5.04872933, 7.40501968])"
197,197,"array([4.87303135, 7.36405224])"
198,198,"array([4.69609972, 7.31800087])"
199,199,"array([4.43005267, 7.99842977])"
200,200,"array([4.51145011, 7.88981493])"
201,201,"array([4.297399  , 8.01073573])"
202,202,"array([4.44489356, 7.78827115])"
203,203,"array([4.5227229, 7.6846201])"
204,204,"array([4.31206312, 7.80994956])"
205,205,"array([4.46399218, 7.58690389])"
206,206,"array([4.53063368, 7.47954397])"
207,207,"array([4.3324966 , 7.60460898])"
208,208,"array([4.46428835, 7.39319504])"
209,209,"array([4.33853968, 7.40134776])"
210,210,"array([4.60563865, 8.07379849])"
211,211,"array([4.69341882, 7.96925985])"
212,212,"array([4.63155913, 8.18097053])"
213,213,"array([4.82389048, 7.93807877])"
214,214,"array([4.90180404, 7.82308717])"
215,215,"array([4.85863736, 8.0338949 ])"
216,216,"array([5.01337119, 7.76601563])"
217,217,"array([5.05110681, 7.86113689])"
218,218,"array([5.06783377, 7.63577077])"
219,219,"array([5.16377474, 7.56131938])"
220,220,"array([5.2087826 , 7.65045972])"
221,221,"array([5.00974762, 7.53632578])"
222,222,"array([4.89725151, 7.59504364])"
223,223,"array([4.84259007, 7.72341635])"
224,224,"array([4.72107771, 7.75759197])"
225,225,"array([4.63676629, 7.86493245])"
226,226,"array([4.83111569, 7.4976085 ])"
227,227,"array([4.70905742, 7.54482913])"
228,228,"array([4.65111857, 7.66027334])"
229,229,"array([4.65073006, 7.44192727])"
230,230,"array([5.1452866 , 7.77588465])"
231,231,"array([4.97253376, 7.98131686])"
232,232,"array([4.75391716, 8.13936461])"
233,233,"array([4.5225544 , 8.07727762])"
234,234,"array([4.61864418, 8.12421636])"
235,235,"array([4.39257965, 8.12932128])"
236,236,"array([4.55744392, 8.23637798])"
237,237,"array([4.65206389, 8.26868545])"
238,238,"array([4.42205085, 8.3038055 ])"
239,239,"array([4.56150617, 8.36143991])"
240,240,"array([4.62674671, 8.32822634])"
241,241,"array([4.42431873, 8.42184401])"
242,242,"array([4.50330723, 8.3663862 ])"
243,243,"array([4.37347469, 8.42806945])"
244,244,"array([4.6724858 , 7.88411451])"
245,245,"array([4.66989796, 7.75678445])"
246,246,"array([4.76707822, 7.91182705])"
247,247,"array([4.85679853, 7.80398377])"
248,248,"array([4.86865795, 7.66917843])"
249,249,"array([4.96336992, 7.8250798 ])"
250,250,"array([5.05253404, 7.70637394])"
251,251,"array([5.06067319, 7.5681609 ])"
252,252,"array([5.14977042, 7.70911355])"
253,253,"array([5.22095252, 7.58627826])"
254,254,"array([5.23197534, 7.45504325])"
255,255,"array([5.11089575, 7.83422542])"
256,256,"array([5.02383401, 7.95113742])"
257,257,"array([4.92692166, 7.95505068])"
258,258,"array([4.8260972 , 8.06909538])"
259,259,"array([4.73149386, 8.04093762])"
260,260,"array([4.95317909, 8.05913114])"
261,261,"array([4.85050124, 8.16462868])"
262,262,"array([4.77223762, 8.18685542])"
263,263,"array([4.74485173, 8.2386018 ])"
264,264,"array([5.1503602 , 7.16507876])"
265,265,"array([5.00803247, 7.03216579])"
266,266,"array([4.84667862, 6.91331933])"
267,267,"array([4.53664701, 7.6082589 ])"
268,268,"array([4.61804737, 7.50553651])"
269,269,"array([4.41041229, 7.58993593])"
270,270,"array([4.57413053, 7.38013807])"
271,271,"array([4.65055788, 7.27280097])"
272,272,"array([4.44365835, 7.35886181])"
273,273,"array([4.60347159, 7.14850581])"
274,274,"array([4.67158718, 7.03236643])"
275,275,"array([4.47968851, 7.13459956])"
276,276,"array([4.61848264, 6.91330336])"
277,277,"array([4.49087631, 6.90038551])"
278,278,"array([4.75768152, 7.65042796])"
279,279,"array([4.94963304, 7.55309023])"
280,280,"array([5.12753134, 7.44180499])"
281,281,"array([5.10619043, 7.29887009])"
282,282,"array([5.00312637, 7.28759318])"
283,283,"array([4.93436069, 7.41735916])"
284,284,"array([4.81461045, 7.40884953])"
285,285,"array([4.74281384, 7.51817215])"
286,286,"array([4.95694497, 7.16156502])"
287,287,"array([4.84296512, 7.16866459])"
288,288,"array([4.7711556 , 7.28663413])"
289,289,"array([4.79766814, 7.03769417])"
290,290,"array([4.57391426, 6.22918117])"
291,291,"array([4.62836528, 6.07221161])"
292,292,"array([4.65428395, 5.94056792])"
293,293,"array([3.82123616, 5.80316028])"
294,294,"array([3.96280424, 5.8083271 ])"
295,295,"array([3.7106032 , 5.75289285])"
296,296,"array([4.05020836, 5.75740825])"
297,297,"array([4.19347242, 5.78250191])"
298,298,"array([3.93237069, 5.71298823])"
299,299,"array([4.28234802, 5.7600668 ])"
300,300,"array([4.42304759, 5.80117313])"
301,301,"array([4.16104274, 5.74679741])"
302,302,"array([4.49575742, 5.8392834 ])"
303,303,"array([4.37722344, 5.85702231])"
304,304,"array([3.82820994, 5.96831374])"
305,305,"array([3.9660747 , 5.96967897])"
306,306,"array([3.75051491, 6.05888982])"
307,307,"array([4.03223465, 6.0720782 ])"
308,308,"array([4.16905737, 6.09128476])"
309,309,"array([3.94973825, 6.16166918])"
310,310,"array([4.22481967, 6.2035916 ])"
311,311,"array([4.35435156, 6.23736959])"
312,312,"array([4.13919891, 6.2894396 ])"
313,313,"array([4.39794175, 6.3547806 ])"
314,314,"array([4.31316101, 6.43359742])"
315,315,"array([4.44895059, 6.17158949])"
316,316,"array([4.39698803, 6.0576022 ])"
317,317,"array([4.26093865, 6.01713181])"
318,318,"array([4.19143135, 5.915169  ])"
319,319,"array([4.05147007, 5.89205586])"
320,320,"array([4.49643983, 6.00759238])"
321,321,"array([4.42562694, 5.90370699])"
322,322,"array([4.28767132, 5.86075997])"
323,323,"array([4.52459533, 5.87697648])"
324,324,"array([4.32329019, 6.76642793])"
325,325,"array([4.27979732, 6.64543347])"
326,326,"array([4.25320599, 6.86984971])"
327,327,"array([4.12552305, 6.85402331])"
328,328,"array([4.08162725, 6.72933824])"
329,329,"array([4.05285207, 6.96494909])"
330,330,"array([3.92347989, 6.95128348])"
331,331,"array([3.87828006, 6.82804104])"
332,332,"array([3.85123116, 7.06319767])"
333,333,"array([3.72610182, 7.04806845])"
334,334,"array([3.67911447, 6.93205929])"
335,335,"array([4.20470479, 7.67810962])"
336,336,"array([4.16120821, 7.56413261])"
337,337,"array([4.12545672, 7.77931851])"
338,338,"array([4.0322476 , 7.55000016])"
339,339,"array([3.98913878, 7.43300617])"
340,340,"array([3.95195227, 7.65533233])"
341,341,"array([3.86138752, 7.4142117 ])"
342,342,"array([3.82041915, 7.29428853])"
343,343,"array([3.7815455 , 7.51723958])"
344,344,"array([3.69703453, 7.2723749 ])"
345,345,"array([3.61932116, 7.37090331])"
346,346,"array([4.36865978, 7.4697812 ])"
347,347,"array([4.39952729, 7.24344935])"
348,348,"array([4.42691837, 7.00900144])"
349,349,"array([4.29677224, 6.99488217])"
350,350,"array([4.2225794 , 7.10517644])"
351,351,"array([4.2690023 , 7.22893321])"
352,352,"array([4.19437079, 7.33972785])"
353,353,"array([4.23985685, 7.45744536])"
354,354,"array([4.09393838, 7.09031331])"
355,355,"array([4.02088794, 7.20239063])"
356,356,"array([4.06573401, 7.32466246])"
357,357,"array([3.89469096, 7.18597455])"
358,358,"array([4.18675548, 6.4069342 ])"
359,359,"array([4.00728062, 6.27324536])"
360,360,"array([3.81519814, 6.15945759])"
361,361,"array([3.50066415, 6.82118043])"
362,362,"array([3.56833538, 6.7080056 ])"
363,363,"array([3.37938477, 6.83622695])"
364,364,"array([3.51188759, 6.60084983])"
365,365,"array([3.58459103, 6.4831919 ])"
366,366,"array([3.3767388 , 6.61762824])"
