# index, name, family, order, is_pollinator, _pos
69,Senotainia trilineata,Tachinidae,Diptera,1,"array([3.69619461, 0.71495873])"
70,Sphaerophoria cylindrica,Syrphidae,Diptera,1,"array([4.0548152 , 0.86820044])"
71,Syritta pipiens,Syrphidae,Diptera,1,"array([3.95360887, 0.81872134])"
72,Syrphus americanus,Syrphidae,Diptera,1,"array([4.14344759, 0.88052375])"
73,Syrphus ribesii,Syrphidae,Diptera,1,"array([4.0825191 , 0.90192812])"
74,Toxophora amphitea,Bombyliidae,Diptera,1,"array([3.78414269, 0.74861335])"
75,Actea alba,Ranunculaceae,,0,"array([4.63629165, 0.91971388])"
76,Chloralictus zephyrus,Halictidae,Hymenoptera,1,"array([4.11669149, 0.92403862])"
77,Evylaeus pectoralis,Halictidae,Hymenoptera,1,"array([4.08685394, 0.79592752])"
78,Oxystoglossa confusa,Halictidae,Hymenoptera,1,"array([4.18822104, 0.77486249])"
79,Actinomeris alternifolia,Compositae,,0,"array([4.39194954, 0.45176317])"
80,Bombus consimilis,Bombidae,Hymenoptera,1,"array([4.31724516, 0.54483425])"
81,Bombus impatiens,Bombidae,Hymenoptera,1,"array([4.21196367, 0.61039812])"
82,Chauliognathus pennsylvanicus,Lampyridae,Coleoptera,1,"array([3.90888234, 0.52340258])"
83,Cyaniris pseudargiolus,Lycaenidae,Lepidoptera,1,"array([4.11936186, 0.83636214])"
84,Pseudopanurgus labrosiformis,Panurgidae,Hymenoptera,1,"array([4.02571716, 0.17152816])"
85,Scolia bicincta,Scoliidae,Hymenoptera,1,"array([3.79982673, 0.59400521])"
86,Triepelous remigatus,Epeolidae,Hymenoptera,1,"array([5.04588584, 0.06921309])"
87,Aesculus glabra,Sapindaceae,,0,"array([4.69649358, 0.56060521])"
88,Anthophora ursina,Anthophoridae,Hymenoptera,1,"array([4.52382732, 0.55117402])"
89,Centrosmia bucephala,Megachilidae,Hymenoptera,1,"array([4.82450497, 0.72963814])"
90,Osmia cordata,Megachilidae,Hymenoptera,1,"array([4.70952187, 0.61208229])"
91,Tetralonia belfragei,Euceridae,Hymenoptera,1,"array([4.62479242, 0.8125368 ])"
92,Tetralonia dilecta,Euceridae,Hymenoptera,1,"array([4.39724252, 0.73548265])"
93,Aesculus hippocastanum,Sapindaceae,,0,"array([4.59484113, 0.47120604])"
94,Anthemoessa abrupta,Anthophoridae,Hymenoptera,1,"array([4.39666406, 0.63742376])"
95,Bombias scutellaris,Bombidae,Hymenoptera,1,"array([4.08781387, 0.47257704])"
96,Agastache nepetoides,Labiatae,,0,"array([4.29966126, 0.62363152])"
97,Anosia plexippus,Nymphalidae,Lepidoptera,1,"array([4.14877711, 0.58513666])"
98,Chloralictus sparsus,Halictidae,Hymenoptera,1,"array([4.09588764, 0.84840959])"
99,Exoprosopa fasciata,Bombyliidae,Diptera,1,"array([4.03109743, 0.40623384])"
100,Mesogramma geminata,Syrphidae,Diptera,1,"array([4.02871352, 0.92824072])"
101,Oxystoglossa pura,Halictidae,Hymenoptera,1,"array([4.17900894, 0.87217279])"
102,Sphex nigricans,Sphecidae,Hymenoptera,1,"array([3.98181008, 0.60018774])"
103,Agastache scrophulariaefolia,Labiatae,,0,"array([4.40104487, 0.15624619])"
104,Megachile mendica,Megachilidae,Hymenoptera,1,"array([4.08098719, 0.42740183])"
105,Agrimonia striata,Rosaceae,,0,"array([ 4.43465964, -0.07234901])"
106,Alisma plantago aquatica,Alismaceae,,0,"array([3.86157566, 1.10255743])"
107,Agapostemon radiatus,Halictidae,Hymenoptera,1,"array([4.09723659, 0.75151687])"
108,Chloralictus coreopsis,Halictidae,Hymenoptera,1,"array([4.02133467, 0.86666802])"
109,Chloralictus cressonii,Halictidae,Hymenoptera,1,"array([4.1710081 , 1.12461143])"
110,Chloralictus tegularis,Halictidae,Hymenoptera,1,"array([4.06293739, 0.92267698])"
111,Gymnoprosopa clarifrons,Tachinidae,Diptera,1,"array([3.60100089, 0.81326976])"
112,Oxystoglossa similis,Halictidae,Hymenoptera,1,"array([4.14726745, 0.75951181])"
113,Paragus bicolor,Syrphidae,Diptera,1,"array([3.97316822, 0.97968303])"
114,Amaranthus spinosus,Amaranthaceae (an),,0,"array([4.90089134, 0.24468439])"
115,Ambrosia trifida,Compositae,,0,"array([3.85829328, 1.20395563])"
116,Vespula germanica,Vespidae,Hymenoptera,1,"array([3.89210417, 0.72046953])"
117,Amelanchier canadensis,Rosaceae,,0,"array([4.2819773, 1.0543499])"
118,Andrena carlini,Andrenidae,Hymenoptera,1,"array([4.39131516, 1.01967052])"
119,Andrena erythrogastra,Andrenidae,Hymenoptera,1,"array([4.28476589, 1.25708847])"
120,Andrena erythronii,Andrenidae,Hymenoptera,1,"array([4.62738182, 1.15436235])"
121,Andrena mandibularis,Andrenidae,Hymenoptera,1,"array([4.46654527, 1.12123652])"
122,Andrena salicis,Andrenidae,Hymenoptera,1,"array([4.64822049, 1.20721109])"
123,Andrena salictaria,Andrenidae,Hymenoptera,1,"array([4.43355938, 1.34918493])"
124,Andrena sayi,Andrenidae,Hymenoptera,1,"array([4.33293857, 1.10188393])"
125,Bombus ridingsii,Bombidae,Hymenoptera,1,"array([4.46759293, 0.70017778])"
126,Bombylius major,Bombyliidae,Diptera,1,"array([4.49937895, 0.98109329])"
127,Brachypalpus frontosus,Syrphidae,Diptera,1,"array([4.53625643, 1.16751682])"
128,Ceratina dupla,Ceratinidae,Hymenoptera,1,"array([4.18837313, 0.72370333])"
129,Chloralictus caeruleus,Halictidae,Hymenoptera,1,"array([4.46095908, 1.30186709])"
130,Colletes inaequalis,Colletidae,Hymenoptera,1,"array([4.28875892, 1.1787462 ])"
131,Cynomyia cadaverina,Sarcophagidae,Diptera,1,"array([4.14454089, 1.14814202])"
132,Dolerus arvensis,Tenthredinidae,Hymenoptera,1,"array([4.47055605, 1.38483955])"
133,Euphorocera claripennis,Tachinidae,Diptera,1,"array([3.87138782, 1.02810939])"
134,Evylaeus arcuatus,Halictidae,Hymenoptera,1,"array([4.04749282, 0.94975625])"
135,Evylaeus foxii,Halictidae,Hymenoptera,1,"array([4.23031757, 0.97511642])"
136,Gonia capitata,Tachinidae,Diptera,1,"array([4.4185433 , 1.16760394])"
137,Halictus lerouxii,Halictidae,Hymenoptera,1,"array([4.1071548 , 0.81411529])"
138,Hammomyia paludis,Anthomyidae,Diptera,1,"array([4.51205565, 1.63782876])"
139,Helophilus similis,Syrphidae,Diptera,1,"array([4.07315181, 0.85924704])"
140,Nomada denticulata,Nomadidae,Hymenoptera,1,"array([4.36166349, 1.11701577])"
141,Nomada illinoensis,Nomadidae,Hymenoptera,1,"array([4.25533549, 1.21275747])"
142,Opandrena cressonii,Andrenidae,Hymenoptera,1,"array([4.21821428, 1.04229695])"
143,Opandrena miserabilis,Andrenidae,Hymenoptera,1,"array([4.33305086, 1.13880854])"
144,Parandrena andrenoides,Andrenidae,Hymenoptera,1,"array([4.37054421, 1.3163842 ])"
145,Platychirus quadratus,Syrphidae,Diptera,1,"array([3.95198039, 1.06609947])"
146,Scatophaga furcata,Scatophagidae,Diptera,1,"array([4.40717405, 1.29658361])"
147,Trachandrena claytoniae,Andrenidae,Hymenoptera,1,"array([4.24557161, 1.12862425])"
148,Trachandrena forbesii,Andrenidae,Hymenoptera,1,"array([4.21381904, 1.20008318])"
149,Trachandrena hippotes,Andrenidae,Hymenoptera,1,"array([4.18509306, 1.23699661])"
150,Trachandrena mariae,Andrenidae,Hymenoptera,1,"array([4.51414134, 1.20389023])"
151,Trachandrena rugosa,Andrenidae,Hymenoptera,1,"array([4.33188543, 1.2376155 ])"
152,Ammannia coccinea,Lythraceae,,0,"array([4.33396959, 0.67143655])"
153,Calliopsis andreniformis,Panurgidae,Hymenoptera,1,"array([4.11860002, 0.52806076])"
154,Eurema lisa,Papilionidae,Lepidoptera,1,"array([4.258136  , 0.26555798])"
155,Everes comyntas,Lycaenidae,Lepidoptera,1,"array([4.10035222, 0.62891404])"
156,Pontia protodice,Papilionidae,Lepidoptera,1,"array([4.17517048, 0.59130229])"
157,Spallanzania hesperidarum,Tachinidae,Diptera,1,"array([3.87521108, 0.68830645])"
158,Amorpha canescens,Leguminosae,,0,"array([4.00103356, 0.72387416])"
159,Agapostemon texanus,Halictidae,Hymenoptera,1,"array([4.20217905, 0.49345207])"
160,Alcidamea simplex,Megachilidae,Hymenoptera,1,"array([4.2464514 , 0.68448609])"
161,Anthrax sinuosa,Bombyliidae,Diptera,1,"array([4.04229751, 0.89575162])"
162,Bicyrtes ventralis,Bembicidae,Hymenoptera,1,"array([4.00238227, 0.56673368])"
163,Cerceris bicornuta,Philanthidae,Hymenoptera,1,"array([3.66712241, 0.47937936])"
164,Coelioxys 8-dentata,Megachilidae,Hymenoptera,1,"array([4.0650082 , 0.52704675])"
165,Coelioxys sayi,Megachilidae,Hymenoptera,1,"array([4.04535983, 0.6123225 ])"
166,Colletes eulophi,Colletidae,Hymenoptera,1,"array([3.79705872, 0.80998301])"
167,Curtisapis forbesii,Halictidae,Hymenoptera,1,"array([4.13876317, 0.85237134])"
168,Diabrotica 12-punctata,Chrysomelidae,Coleoptera,1,"array([3.93283636, 0.67783873])"
169,Diabrotica atripennis,Chrysomelidae,Coleoptera,1,"array([3.37205023, 0.97451869])"
170,Elis 5-cincta,Scoliidae,Hymenoptera,1,"array([3.81155715, 0.65857877])"
171,Eumenes fraternus,Eumenidae,Hymenoptera,1,"array([3.83877817, 0.81380312])"
172,Halictus parallelus,Halictidae,Hymenoptera,1,"array([3.94461358, 0.70980073])"
173,Hoplitis cylindricus,Megachilidae,Hymenoptera,1,"array([4.42496989, 0.60426319])"
174,Isodontia apicalis,Sphecidae,Hymenoptera,1,"array([3.70659268, 0.75316754])"
175,Leionotus anormis,Eumenidae,Hymenoptera,1,"array([3.94135036, 0.75526625])"
176,Leionotus dorsalis,Eumenidae,Hymenoptera,1,"array([3.8808782 , 0.53924903])"
177,Macrobasis unicolor,Meloidae,Coleoptera,1,"array([3.9497694 , 1.21795017])"
178,Neotrypetes truncatus,Megachilidae,Hymenoptera,1,"array([3.99734917, 0.66350634])"
179,Philanthus ventilabris,Philanthidae,Hymenoptera,1,"array([3.70437917, 0.46188315])"
180,Priononyx atrata,Sphecidae,Hymenoptera,1,"array([3.90964027, 0.56058415])"
181,Priononyx thomae,Sphecidae,Hymenoptera,1,"array([3.83860493, 0.51347295])"
182,Prosopis pygmaea,Prosopididae,Hymenoptera,1,"array([3.91228742, 0.92211558])"
183,Prosopis ziziae,Prosopididae,Hymenoptera,1,"array([3.93146008, 0.89665475])"
184,Psithyrus variabilis,Bombidae,Hymenoptera,1,"array([4.14754057, 0.528756  ])"
185,Sphex pictipennis,Sphecidae,Hymenoptera,1,"array([3.97038242, 0.53567612])"
186,Sphex procera,Sphecidae,Hymenoptera,1,"array([4.02408195, 0.47674695])"
187,Sphex vulgaris,Sphecidae,Hymenoptera,1,"array([3.90814747, 0.6941594 ])"
188,Tachytes elongatus,Larridae,Hymenoptera,1,"array([3.66305364, 0.79947465])"
189,Tachytes pepticus,Larridae,Hymenoptera,1,"array([4.22777142, 0.65717793])"
190,Tropidia mamillata,Syrphidae,Diptera,1,"array([4.16988921, 0.7483756 ])"
